

This file contains an example of calculations of DCW and endpoint
for SMILES that is inserted in dialog box
O=C(c1ncc(s1)C1CC1)Nc1nccc(n1)n1cnc2c1ccc(c2)C(F)(F)F
Selected threshold is 1

SMILES attribute (SA) : Correlation Weight :   SA defect
          1...s...(...:                 0.0:     0.00000
          s...1...(...:              0.9911:     0.00534
          C...(...1...:              0.4573:     0.00408
          1...C...(...:              0.6503:     1.00000
          C...1...C...:              0.0318:     0.03704
          C...C...1...:              0.2585:     0.01020
          C...C...1...:              0.2585:     0.01020
          C...1...(...:             -0.4280:     0.01429
          N...(...1...:                 0.0:     0.00000
          c...N...(...:              0.0567:     0.00856
          N...c...1...:              0.5372:     0.00851
          n...1...c...:              0.2775:     0.00329
          c...n...1...:              0.3001:     0.00263
          n...c...c...:              0.4670:     0.00209
          c...c...c...:              0.0231:     0.00189
          c...c...(...:             -0.6722:     0.00000
          n...(...c...:              0.1659:     0.00862
          1...n...(...:             -1.7037:     1.00000
          n...1...(...:                 0.0:     0.00000
          n...(...1...:                 0.0:     0.00000
          1...n...(...:             -1.7037:     1.00000
          n...1...c...:              0.2775:     0.00329
          n...c...1...:              1.8547:     1.00000
          c...n...c...:              0.5434:     0.00218
          n...c...2...:              0.0123:     0.00879
          c...2...c...:             -0.6674:     0.00388
          2...c...1...:              0.9797:     0.00655
          c...1...c...:              0.1255:     0.00232
          c...c...1...:              0.0848:     0.00195
          c...c...c...:              0.0231:     0.00189
          c...c...(...:             -0.6722:     0.00000
          c...(...c...:              0.1197:     0.00559
          2...c...(...:              0.6581:     0.00655
          c...2...(...:              0.7206:     0.00563
          C...(...2...:             -0.0322:     0.01486
          (...C...(...:              0.1429:     0.00563
          F...(...C...:                 0.0:     0.00000
          (...F...(...:              0.6963:     1.00000
          F...(...(...:                 0.0:     0.00000
          F...(...(...:                 0.0:     0.00000
          (...F...(...:              0.6963:     1.00000
          F...(...F...:                 0.0:     0.00000
          NOSP11000000:              0.4423:     0.00120
          HALO10000000:             -0.0139:     1.00000
          BOND10000000:              0.0728:     1.00000
          $10011001000:                 0.0:     0.00000
          [xyx6]......:             -0.4623:     0.00855
          [xyyx1].....:             -0.0940:     0.03333
          [xyzyx0]....:              0.7863:     0.00111
-----            SMILES defect          ----    20.41789

2 * Average SMILESdefect =     7.97533

This SMILES does not fall into Domain of applicability

DCW=     15.8789  Prediction for EndPoint=      6.5256

    :   O:   C:   C:   N:   C:   C:   S:   C:   C:   C:   N:   C:   N:   C:   C:   C:   N:   N:   C:   N:   C:   C:   C:   C:   C:   C:   C:   F:   F:   F:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H:   H: EC0: EC1: EC2: EC3: PT2: PT3: PT4: S2 : S3 : NNC 
   O:   0:   2:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   3:   7:  17:   2:   4:   8:   6:   8: 110
   C:   2:   0:   1:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   7:  17:  43:   4:   4:   6:   8:  10: 312
   C:   0:   1:   0:   1:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   7:  19:  46:   4:   6:  12:  10:  15: 312
   N:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   2:   6:  13:  37:   4:   5:   9:   9:  13: 220
   C:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   6:  18:  43:   3:   6:  14:   9:  17: 312
   C:   0:   0:   0:   0:   1:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   3:   9:  24:  67:   6:   9:  23:  15:  20: 321
   S:   0:   0:   1:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   2:   6:  16:  43:   4:   8:  18:  12:  19: 220
   C:   0:   0:   0:   0:   0:   1:   0:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   4:  12:  33:  96:   8:   7:  17:  17:  10: 431
   C:   0:   0:   0:   0:   0:   0:   0:   1:   0:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   0:   1:   1:   0:   0:   0:   0:   0:   0:   0:   0:   0:   4:  10:  30:  83:   6:   6:  16:  14:  11: 422
