The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0133: 0.1831: 0.2637:    1.054:    1.102:    0.562
   2: 0.0581: 0.2054: 0.4684:    1.030:    1.068:    0.488
   3: 0.0898: 0.2016: 0.5247:    1.012:    1.056:    0.455
   4: 0.0928: 0.2070: 0.5312:    1.011:    1.053:    0.451
   5: 0.0940: 0.2074: 0.5383:    1.010:    1.053:    0.449
   6: 0.0942: 0.2094: 0.5425:    1.010:    1.052:    0.448
   7: 0.0962: 0.2071: 0.5525:    1.009:    1.052:    0.445
   8: 0.0966: 0.2069: 0.5554:    1.008:    1.052:    0.444
   9: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  10: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  11: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  12: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  13: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  14: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  15: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  16: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  17: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  18: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  19: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  20: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  21: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  22: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  23: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  24: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  25: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  26: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  27: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  28: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  29: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  30: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
  31: 0.0966: 0.2073: 0.5557:    1.008:    1.052:    0.444
