The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0872: 0.1604: 0.5316:    1.014:    1.068:    0.441
   2: 0.1453: 0.1703: 0.6481:    0.981:    1.053:    0.381
   3: 0.1458: 0.1877: 0.6495:    0.981:    1.047:    0.381
   4: 0.1503: 0.1898: 0.6562:    0.978:    1.045:    0.377
   5: 0.1499: 0.2006: 0.6604:    0.978:    1.041:    0.377
   6: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
   7: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
   8: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
   9: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  10: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  11: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  12: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  13: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  14: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  15: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  16: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  17: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  18: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  19: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  20: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  21: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  22: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  23: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  24: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  25: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  26: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  27: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  28: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  29: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  30: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
  31: 0.1492: 0.1995: 0.6643:    0.979:    1.042:    0.376
