The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0899: 0.2513: 0.4986:    1.012:    1.043:    0.456
   2: 0.1745: 0.2478: 0.6421:    0.964:    1.017:    0.385
   3: 0.1961: 0.2581: 0.6813:    0.951:    1.009:    0.364
   4: 0.2017: 0.2613: 0.6955:    0.948:    1.007:    0.357
   5: 0.2062: 0.2684: 0.7034:    0.945:    1.003:    0.352
   6: 0.2058: 0.2698: 0.7023:    0.946:    1.003:    0.353
   7: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
   8: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
   9: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  10: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  11: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  12: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  13: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  14: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  15: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  16: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  17: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  18: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  19: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  20: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  21: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  22: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  23: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  24: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  25: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  26: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  27: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  28: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  29: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  30: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
  31: 0.2055: 0.2699: 0.7025:    0.946:    1.003:    0.353
