The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0667: 0.1776: 0.5267:    1.025:    1.068:    0.453
   2: 0.1527: 0.1493: 0.6927:    0.977:    1.056:    0.345
   3: 0.1952: 0.1850: 0.7176:    0.952:    1.039:    0.323
   4: 0.2025: 0.2059: 0.7334:    0.948:    1.027:    0.315
   5: 0.2193: 0.2128: 0.7511:    0.937:    1.021:    0.307
   6: 0.2236: 0.2241: 0.7559:    0.935:    1.016:    0.305
   7: 0.2428: 0.2436: 0.7690:    0.923:    1.005:    0.301
   8: 0.2561: 0.2573: 0.7760:    0.915:    0.997:    0.304
   9: 0.2587: 0.2612: 0.7819:    0.914:    0.995:    0.298
  10: 0.2601: 0.2626: 0.7834:    0.913:    0.994:    0.298
  11: 0.2647: 0.2648: 0.7830:    0.910:    0.993:    0.301
  12: 0.2643: 0.2683: 0.7819:    0.910:    0.991:    0.302
  13: 0.2653: 0.2689: 0.7828:    0.909:    0.991:    0.302
  14: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  15: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  16: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  17: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  18: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  19: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  20: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  21: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  22: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  23: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  24: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  25: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  26: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  27: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  28: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  29: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  30: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
  31: 0.2659: 0.2703: 0.7840:    0.909:    0.990:    0.302
