The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0924: 0.1865: 0.4692:    1.011:    1.056:    0.460
   2: 0.1592: 0.2074: 0.5672:    0.973:    1.029:    0.410
   3: 0.1853: 0.1987: 0.6186:    0.958:    1.029:    0.383
   4: 0.2023: 0.2057: 0.6396:    0.948:    1.023:    0.371
   5: 0.2127: 0.2408: 0.6766:    0.941:    1.007:    0.354
   6: 0.2414: 0.2909: 0.7436:    0.924:    0.981:    0.317
   7: 0.2854: 0.2977: 0.7751:    0.897:    0.968:    0.292
   8: 0.3044: 0.3081: 0.7885:    0.885:    0.961:    0.281
   9: 0.3165: 0.3156: 0.8058:    0.877:    0.954:    0.269
  10: 0.3305: 0.3437: 0.8118:    0.868:    0.939:    0.265
  11: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  12: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  13: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  14: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  15: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  16: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  17: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  18: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  19: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  20: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  21: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  22: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  23: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  24: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  25: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  26: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  27: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  28: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  29: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  30: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
  31: 0.3353: 0.3428: 0.8152:    0.865:    0.939:    0.262
