LIST OF STRUCTURAL ATTRIBUTES (SA) AND THEIR CORRELATION WEIGHTS


The total number of SMILES: in active training set NsmsA=  36  in passive training set NsmsP=  35  in calibratuion set NsmsC=  36 Nact=  0 NactSFk=  0

Hydrogen filled graph (HFG) is used in the model
SMILES is used  in the model
ID is number of SA in the completed list of SAs
N1 is the number of SMILES in active training set with SA
N2 is the number of SMILES in passive training set with SA
N3 is the number of SMILES in calibration set with SA

The number of SMILES in active training set is 36
The number of SMILES in passive training set is 35
The number of SMILES in calibration set is 36


 SAk        : CW(SAk)    :        ID  :        NA  :        NP  :        NC  : DEFECT[SAk]:  Active 
C.../.......:         0.0:          90:           0:           1:           0:      1.0000:  FALSE
C...1...(...:     -0.1494:          91:           9:           4:           6:      0.0143:  TRUE
C...1.......:     -0.2164:          92:           9:           6:           8:      0.0068:  TRUE
C...1...C...:      0.3874:          93:           2:           0:           1:      0.0370:  TRUE
C...2...(...:      0.4733:          94:           7:           5:           6:      0.0057:  TRUE
C...2.......:     -0.1496:          95:          16:          14:          16:      0.0019:  TRUE
C...2...C...:      0.2945:          96:           2:           4:           5:      0.0152:  TRUE
C...3...(...:      0.1587:          97:           2:           5:           4:      0.0159:  TRUE
C...3.......:     -0.3021:          98:           7:           8:           8:      0.0030:  TRUE
C...3...C...:         0.0:          99:           0:           4:           3:      1.0000:  FALSE
C...4.......:         0.0:         100:           0:           0:           1:      1.0000:  FALSE
C...=.......:     -0.0420:         101:           2:           4:           3:      0.0131:  TRUE
C...=...C...:         0.0:         102:           0:           1:           0:      1.0000:  FALSE
C...C...#...:         0.0:         103:           1:           2:           2:      1.0000:  FALSE
C...C...(...:     -0.3885:         104:          27:          26:          24:      0.0022:  TRUE
C...C.......:      0.1804:         105:          35:          35:          36:      0.0005:  TRUE
C...C...1...:      0.4554:         106:           9:           5:           7:      0.0102:  TRUE
C...C...2...:     -0.4091:         107:          16:          13:          16:      0.0032:  TRUE
C...C...3...:     -0.1271:         108:           2:           5:           5:      0.0146:  TRUE
C...C...C...:      0.0583:         109:           9:           4:           6:      0.0143:  TRUE
C...N...(...:      0.3757:         110:           5:           5:          10:      0.0139:  TRUE
C...N...C...:      0.2308:         111:           3:           2:           2:      0.0079:  TRUE
C...O...(...:      0.1818:         112:           6:           6:           8:      0.0056:  TRUE
C...O...1...:     -0.2549:         113:           2:           0:           0:      1.0000:  TRUE
C...O...C...:      0.4927:         114:           6:           7:           5:      0.0068:  TRUE
C...S...(...:         0.0:         115:           0:           1:           0:      1.0000:  FALSE
C...c...1...:      0.2883:         116:          22:          23:          19:      0.0040:  TRUE
C...c...2...:     -0.2118:         117:           6:           1:           3:      0.0276:  TRUE
C...c...3...:     -0.2156:         118:          10:           9:          12:      0.0049:  TRUE
C...c...4...:         0.0:         119:           0:           0:           1:      1.0000:  FALSE
BOND00000000:      0.4192:         120:           4:           2:           6:      0.0183:  TRUE
BOND01000000:      0.1329:         121:          27:          25:          19:      0.0063:  TRUE
