The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0797: 0.2147: 0.4071:    1.018:    1.055:    0.473
   2: 0.1923: 0.2397: 0.6570:    0.954:    1.025:    0.357
   3: 0.2532: 0.2560: 0.7362:    0.917:    1.005:    0.309
   4: 0.2887: 0.2867: 0.7754:    0.895:    0.983:    0.285
   5: 0.2966: 0.2961: 0.7841:    0.890:    0.976:    0.279
   6: 0.2951: 0.3026: 0.7848:    0.891:    0.974:    0.278
   7: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
   8: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
   9: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  10: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  11: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  12: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  13: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  14: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  15: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  16: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  17: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  18: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  19: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  20: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  21: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  22: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  23: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  24: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  25: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  26: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  27: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  28: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  29: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  30: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
  31: 0.2967: 0.3004: 0.7850:    0.890:    0.974:    0.278
