The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0300: 0.1786: 0.4371:    1.045:    1.086:    0.517
   2: 0.1435: 0.1760: 0.7140:    0.982:    1.049:    0.358
   3: 0.1491: 0.1900: 0.7217:    0.979:    1.044:    0.354
   4: 0.1608: 0.2115: 0.7500:    0.972:    1.034:    0.340
   5: 0.1864: 0.2422: 0.7745:    0.957:    1.017:    0.320
   6: 0.2128: 0.2498: 0.8163:    0.941:    1.012:    0.296
   7: 0.2315: 0.2693: 0.8297:    0.930:    0.999:    0.283
   8: 0.2372: 0.2712: 0.8346:    0.927:    0.998:    0.277
   9: 0.2429: 0.2744: 0.8412:    0.923:    0.993:    0.272
  10: 0.2453: 0.2764: 0.8461:    0.922:    0.992:    0.268
  11: 0.2482: 0.2745: 0.8491:    0.920:    0.993:    0.266
  12: 0.2493: 0.2741: 0.8492:    0.919:    0.992:    0.265
  13: 0.2489: 0.2766: 0.8500:    0.920:    0.991:    0.265
  14: 0.2491: 0.2792: 0.8504:    0.919:    0.990:    0.265
  15: 0.2508: 0.2844: 0.8502:    0.918:    0.988:    0.265
  16: 0.2625: 0.2936: 0.8562:    0.911:    0.982:    0.260
  17: 0.3015: 0.2969: 0.8557:    0.887:    0.972:    0.244
  18: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  19: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  20: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  21: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  22: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  23: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  24: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  25: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  26: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  27: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  28: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  29: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  30: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
  31: 0.3064: 0.3017: 0.8562:    0.884:    0.969:    0.241
