The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0677: 0.1602: 0.4406:    1.024:    1.071:    0.474
   2: 0.1728: 0.1614: 0.6345:    0.965:    1.048:    0.374
   3: 0.1993: 0.1972: 0.6761:    0.949:    1.029:    0.350
   4: 0.2235: 0.2150: 0.7264:    0.935:    1.016:    0.320
   5: 0.2298: 0.2295: 0.7395:    0.931:    1.009:    0.312
   6: 0.2327: 0.2295: 0.7488:    0.929:    1.008:    0.307
   7: 0.2362: 0.2304: 0.7533:    0.927:    1.007:    0.304
   8: 0.2400: 0.2354: 0.7615:    0.925:    1.003:    0.299
   9: 0.2423: 0.2383: 0.7695:    0.924:    1.002:    0.295
  10: 0.2443: 0.2373: 0.7745:    0.922:    1.001:    0.292
  11: 0.2588: 0.2343: 0.7863:    0.913:    0.999:    0.282
  12: 0.2590: 0.2343: 0.7864:    0.913:    0.999:    0.282
  13: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  14: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  15: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  16: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  17: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  18: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  19: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  20: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  21: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  22: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  23: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  24: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  25: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  26: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  27: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  28: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  29: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  30: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
  31: 0.2598: 0.2345: 0.7866:    0.913:    0.998:    0.282
