The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0892: 0.2008: 0.5061:    1.013:    1.054:    0.450
   2: 0.1679: 0.1753: 0.6278:    0.968:    1.040:    0.378
   3: 0.1880: 0.1910: 0.6870:    0.956:    1.030:    0.349
   4: 0.2095: 0.2116: 0.6989:    0.943:    1.016:    0.339
   5: 0.2090: 0.2247: 0.6994:    0.944:    1.009:    0.339
   6: 0.2324: 0.2484: 0.7311:    0.930:    0.993:    0.320
   7: 0.2430: 0.2599: 0.7480:    0.923:    0.986:    0.310
   8: 0.2461: 0.2596: 0.7520:    0.921:    0.986:    0.307
   9: 0.2443: 0.2620: 0.7537:    0.922:    0.984:    0.307
  10: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  11: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  12: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  13: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  14: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  15: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  16: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  17: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  18: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  19: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  20: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  21: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  22: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  23: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  24: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  25: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  26: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  27: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  28: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  29: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  30: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
  31: 0.2461: 0.2627: 0.7572:    0.921:    0.984:    0.304
