The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.2027: 0.2094: 0.5991:    0.947:    1.017:    0.393
   2: 0.3603: 0.2842: 0.7875:    0.849:    0.966:    0.285
   3: 0.3948: 0.2996: 0.8103:    0.825:    0.956:    0.269
   4: 0.4087: 0.3090: 0.8251:    0.816:    0.949:    0.257
   5: 0.4250: 0.3219: 0.8372:    0.805:    0.940:    0.248
   6: 0.4278: 0.3260: 0.8387:    0.803:    0.938:    0.247
   7: 0.4274: 0.3268: 0.8386:    0.803:    0.938:    0.247
   8: 0.4348: 0.3257: 0.8429:    0.798:    0.937:    0.244
   9: 0.4415: 0.3292: 0.8553:    0.793:    0.935:    0.234
  10: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  11: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  12: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  13: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  14: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  15: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  16: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  17: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  18: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  19: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  20: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  21: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  22: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  23: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  24: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  25: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  26: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  27: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  28: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  29: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  30: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
  31: 0.4412: 0.3289: 0.8563:    0.793:    0.935:    0.233
