The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0976: 0.1504: 0.4680:    1.008:    1.066:    0.449
   2: 0.1830: 0.1710: 0.6405:    0.959:    1.042:    0.365
   3: 0.2134: 0.1963: 0.7156:    0.941:    1.027:    0.322
   4: 0.2219: 0.2164: 0.7265:    0.936:    1.015:    0.315
   5: 0.2227: 0.2232: 0.7314:    0.935:    1.012:    0.312
   6: 0.2237: 0.2253: 0.7307:    0.935:    1.011:    0.312
   7: 0.2226: 0.2270: 0.7300:    0.936:    1.010:    0.313
   8: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
   9: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  10: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  11: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  12: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  13: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  14: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  15: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  16: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  17: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  18: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  19: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  20: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  21: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  22: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  23: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  24: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  25: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  26: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  27: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  28: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  29: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  30: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
  31: 0.2227: 0.2270: 0.7303:    0.935:    1.010:    0.312
