The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1457: 0.1551: 0.6393:    0.981:    1.056:    0.386
   2: 0.1736: 0.1872: 0.6817:    0.965:    1.040:    0.360
   3: 0.2199: 0.2271: 0.7203:    0.937:    1.016:    0.340
   4: 0.2805: 0.2837: 0.7491:    0.900:    0.982:    0.315
   5: 0.3136: 0.2971: 0.7662:    0.879:    0.968:    0.299
   6: 0.3287: 0.3201: 0.7949:    0.869:    0.955:    0.280
   7: 0.3453: 0.3355: 0.7993:    0.858:    0.944:    0.275
   8: 0.3453: 0.3441: 0.8001:    0.858:    0.939:    0.274
   9: 0.3483: 0.3425: 0.8016:    0.857:    0.940:    0.273
  10: 0.3474: 0.3497: 0.8022:    0.857:    0.936:    0.273
  11: 0.3489: 0.3513: 0.8029:    0.856:    0.935:    0.272
  12: 0.3497: 0.3533: 0.8052:    0.856:    0.934:    0.271
  13: 0.3508: 0.3535: 0.8056:    0.855:    0.934:    0.270
  14: 0.3506: 0.3544: 0.8069:    0.855:    0.933:    0.269
  15: 0.3597: 0.3588: 0.8093:    0.849:    0.931:    0.266
  16: 0.3608: 0.3712: 0.8129:    0.848:    0.924:    0.264
  17: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  18: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  19: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  20: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  21: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  22: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  23: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  24: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  25: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  26: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  27: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  28: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  29: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  30: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
  31: 0.3608: 0.3715: 0.8154:    0.848:    0.924:    0.262
