The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0916: 0.2198: 0.6068:    1.011:    1.044:    0.409
   2: 0.1653: 0.2088: 0.7292:    0.969:    1.030:    0.331
   3: 0.1776: 0.2196: 0.7489:    0.962:    1.024:    0.321
   4: 0.1804: 0.2279: 0.7517:    0.961:    1.021:    0.319
   5: 0.1823: 0.2349: 0.7531:    0.959:    1.018:    0.318
   6: 0.1891: 0.2447: 0.7643:    0.955:    1.013:    0.311
   7: 0.1974: 0.2510: 0.7797:    0.951:    1.010:    0.302
   8: 0.1993: 0.2585: 0.7850:    0.949:    1.006:    0.299
   9: 0.2024: 0.2616: 0.7895:    0.948:    1.005:    0.296
  10: 0.2053: 0.2678: 0.7975:    0.946:    1.002:    0.290
  11: 0.2065: 0.2704: 0.8002:    0.945:    1.000:    0.288
  12: 0.2068: 0.2714: 0.8014:    0.945:    1.000:    0.287
  13: 0.2068: 0.2719: 0.8013:    0.945:    0.999:    0.287
  14: 0.2075: 0.2729: 0.8028:    0.945:    0.999:    0.286
  15: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  16: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  17: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  18: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  19: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  20: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  21: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  22: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  23: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  24: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  25: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  26: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  27: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  28: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  29: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  30: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
  31: 0.2083: 0.2717: 0.8034:    0.944:    0.999:    0.286
