The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1546: 0.1523: 0.6552:    0.976:    1.059:    0.367
   2: 0.2219: 0.2346: 0.7475:    0.936:    1.017:    0.307
   3: 0.2353: 0.2452: 0.7664:    0.928:    1.011:    0.295
   4: 0.2344: 0.2572: 0.7648:    0.928:    1.007:    0.297
   5: 0.2388: 0.2592: 0.7693:    0.926:    1.005:    0.293
   6: 0.2451: 0.2590: 0.7720:    0.922:    1.004:    0.290
   7: 0.2570: 0.2786: 0.7658:    0.915:    0.993:    0.293
   8: 0.2571: 0.2835: 0.7695:    0.915:    0.991:    0.291
   9: 0.2615: 0.2885: 0.7715:    0.912:    0.988:    0.289
  10: 0.2644: 0.2890: 0.7758:    0.910:    0.987:    0.287
  11: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  12: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  13: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  14: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  15: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  16: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  17: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  18: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  19: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  20: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  21: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  22: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  23: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  24: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  25: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  26: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  27: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  28: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  29: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  30: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
  31: 0.2644: 0.2888: 0.7772:    0.910:    0.987:    0.286
