The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1402: 0.2415: 0.5904:    0.984:    1.031:    0.416
   2: 0.1560: 0.2643: 0.6255:    0.975:    1.021:    0.399
   3: 0.1985: 0.3221: 0.6878:    0.950:    1.001:    0.364
   4: 0.2457: 0.3629: 0.7647:    0.921:    0.982:    0.323
   5: 0.2973: 0.4033: 0.8119:    0.889:    0.959:    0.291
   6: 0.3338: 0.4316: 0.8077:    0.866:    0.940:    0.285
   7: 0.3616: 0.4436: 0.8239:    0.848:    0.933:    0.269
   8: 0.3773: 0.4504: 0.8301:    0.837:    0.930:    0.264
   9: 0.3853: 0.4508: 0.8310:    0.832:    0.929:    0.263
  10: 0.3891: 0.4517: 0.8374:    0.829:    0.928:    0.257
  11: 0.3927: 0.4520: 0.8385:    0.827:    0.927:    0.256
  12: 0.3926: 0.4528: 0.8385:    0.827:    0.928:    0.256
  13: 0.3929: 0.4520: 0.8408:    0.827:    0.927:    0.254
  14: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  15: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  16: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  17: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  18: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  19: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  20: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  21: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  22: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  23: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  24: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  25: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  26: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  27: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  28: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  29: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  30: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
  31: 0.3929: 0.4535: 0.8412:    0.827:    0.926:    0.254
