The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0899: 0.2003: 0.5491:    1.012:    1.049:    0.443
   2: 0.1366: 0.2733: 0.6523:    0.986:    1.013:    0.397
   3: 0.1647: 0.2999: 0.6972:    0.970:    0.995:    0.368
   4: 0.1807: 0.3034: 0.7325:    0.960:    0.987:    0.345
   5: 0.1863: 0.3136: 0.7398:    0.957:    0.981:    0.340
   6: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
   7: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
   8: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
   9: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  10: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  11: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  12: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  13: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  14: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  15: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  16: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  17: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  18: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  19: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  20: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  21: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  22: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  23: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  24: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  25: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  26: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  27: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  28: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  29: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  30: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
  31: 0.1922: 0.3162: 0.7448:    0.954:    0.979:    0.336
