The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0888: 0.2536: 0.5603:    1.013:    1.043:    0.440
   2: 0.1412: 0.2827: 0.6392:    0.983:    1.014:    0.386
   3: 0.1561: 0.2834: 0.6513:    0.975:    1.007:    0.376
   4: 0.1564: 0.2873: 0.6531:    0.975:    1.006:    0.375
   5: 0.1570: 0.2856: 0.6554:    0.974:    1.006:    0.373
   6: 0.1592: 0.2900: 0.6553:    0.973:    1.004:    0.373
   7: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
   8: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
   9: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  10: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  11: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  12: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  13: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  14: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  15: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  16: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  17: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  18: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  19: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  20: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  21: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  22: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  23: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  24: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  25: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  26: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  27: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  28: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  29: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  30: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
  31: 0.1593: 0.2903: 0.6551:    0.973:    1.004:    0.373
