The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1012: 0.2192: 0.5375:    1.006:    1.046:    0.431
   2: 0.1579: 0.2010: 0.6652:    0.974:    1.034:    0.368
   3: 0.1649: 0.2142: 0.6822:    0.970:    1.027:    0.359
   4: 0.1722: 0.2236: 0.6858:    0.965:    1.023:    0.356
   5: 0.1752: 0.2304: 0.6942:    0.964:    1.018:    0.352
   6: 0.1761: 0.2313: 0.7000:    0.963:    1.018:    0.348
   7: 0.1763: 0.2318: 0.7012:    0.963:    1.018:    0.347
   8: 0.1771: 0.2322: 0.7026:    0.962:    1.017:    0.347
   9: 0.1772: 0.2322: 0.7033:    0.962:    1.017:    0.346
  10: 0.1768: 0.2331: 0.7034:    0.963:    1.017:    0.346
  11: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  12: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  13: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  14: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  15: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  16: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  17: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  18: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  19: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  20: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  21: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  22: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  23: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  24: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  25: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  26: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  27: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  28: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  29: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  30: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
  31: 0.1773: 0.2331: 0.7034:    0.962:    1.017:    0.346
