The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1180: 0.1834: 0.4951:    0.996:    1.045:    0.440
   2: 0.1804: 0.1867: 0.6364:    0.961:    1.028:    0.373
   3: 0.1859: 0.1901: 0.6603:    0.957:    1.027:    0.362
   4: 0.1845: 0.2138: 0.6630:    0.958:    1.018:    0.362
   5: 0.1846: 0.2183: 0.6641:    0.958:    1.016:    0.362
   6: 0.1833: 0.2185: 0.6634:    0.959:    1.016:    0.363
   7: 0.1861: 0.2160: 0.6670:    0.957:    1.017:    0.360
   8: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
   9: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  10: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  11: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  12: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  13: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  14: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  15: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  16: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  17: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  18: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  19: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  20: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  21: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  22: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  23: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  24: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  25: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  26: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  27: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  28: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  29: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  30: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
  31: 0.1875: 0.2174: 0.6684:    0.956:    1.016:    0.359
