The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0508: 0.2007: 0.3835:    1.034:    1.070:    0.496
   2: 0.2202: 0.2174: 0.6201:    0.937:    1.015:    0.374
   3: 0.2536: 0.2517: 0.6711:    0.917:    0.994:    0.347
   4: 0.2537: 0.2984: 0.6809:    0.917:    0.975:    0.342
   5: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
   6: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
   7: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
   8: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
   9: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  10: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  11: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  12: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  13: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  14: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  15: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  16: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  17: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  18: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  19: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  20: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  21: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  22: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  23: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  24: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  25: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  26: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  27: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  28: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  29: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  30: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
  31: 0.2708: 0.3230: 0.7031:    0.906:    0.961:    0.330
