The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1137: 0.2676: 0.5168:    0.999:    1.034:    0.426
   2: 0.2532: 0.2801: 0.6950:    0.917:    0.993:    0.331
   3: 0.4263: 0.3889: 0.7993:    0.804:    0.917:    0.275
   4: 0.4744: 0.4679: 0.8571:    0.769:    0.875:    0.235
   5: 0.4727: 0.4733: 0.8584:    0.770:    0.873:    0.234
   6: 0.4744: 0.4748: 0.8613:    0.769:    0.873:    0.232
   7: 0.4779: 0.4759: 0.8607:    0.767:    0.871:    0.233
   8: 0.4786: 0.4789: 0.8614:    0.766:    0.870:    0.233
   9: 0.4797: 0.4806: 0.8607:    0.765:    0.868:    0.234
  10: 0.4797: 0.4819: 0.8615:    0.765:    0.866:    0.233
  11: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  12: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  13: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  14: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  15: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  16: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  17: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  18: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  19: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  20: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  21: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  22: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  23: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  24: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  25: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  26: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  27: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  28: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  29: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  30: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
  31: 0.4784: 0.4828: 0.8636:    0.766:    0.865:    0.231
