The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0409: 0.2323: 0.3890:    1.039:    1.073:    0.506
   2: 0.1033: 0.2820: 0.5805:    1.005:    1.034:    0.417
   3: 0.1818: 0.2586: 0.6750:    0.960:    1.014:    0.350
   4: 0.2255: 0.2472: 0.7064:    0.934:    1.002:    0.331
   5: 0.2253: 0.2509: 0.7159:    0.934:    1.001:    0.325
   6: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
   7: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
   8: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
   9: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  10: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  11: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  12: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  13: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  14: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  15: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  16: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  17: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  18: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  19: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  20: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  21: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  22: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  23: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  24: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  25: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  26: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  27: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  28: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  29: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  30: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
  31: 0.2280: 0.2500: 0.7160:    0.932:    1.000:    0.325
