The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1064: 0.2694: 0.4789:    1.003:    1.033:    0.453
   2: 0.2093: 0.2792: 0.6549:    0.943:    1.002:    0.362
   3: 0.2858: 0.3275: 0.7856:    0.897:    0.979:    0.285
   4: 0.3426: 0.3944: 0.8275:    0.860:    0.948:    0.257
   5: 0.3939: 0.4605: 0.8656:    0.826:    0.918:    0.231
   6: 0.4275: 0.5304: 0.8666:    0.803:    0.894:    0.231
   7: 0.4335: 0.5487: 0.8731:    0.799:    0.884:    0.227
   8: 0.4426: 0.5524: 0.8772:    0.792:    0.881:    0.225
   9: 0.4755: 0.5527: 0.8821:    0.768:    0.878:    0.231
  10: 0.4925: 0.5566: 0.8860:    0.756:    0.874:    0.233
  11: 0.5009: 0.5542: 0.8823:    0.750:    0.873:    0.240
  12: 0.5025: 0.5560: 0.8798:    0.748:    0.872:    0.243
  13: 0.5045: 0.5548: 0.8815:    0.747:    0.872:    0.242
  14: 0.5039: 0.5551: 0.8819:    0.747:    0.872:    0.241
  15: 0.5039: 0.5553: 0.8819:    0.747:    0.872:    0.241
  16: 0.5050: 0.5549: 0.8810:    0.746:    0.871:    0.242
  17: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  18: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  19: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  20: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  21: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  22: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  23: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  24: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  25: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  26: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  27: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  28: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  29: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  30: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
  31: 0.5056: 0.5545: 0.8808:    0.746:    0.871:    0.243
