The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0905: 0.1776: 0.5473:    1.012:    1.061:    0.443
   2: 0.1691: 0.1796: 0.6520:    0.967:    1.042:    0.371
   3: 0.1759: 0.1812: 0.6636:    0.963:    1.040:    0.363
   4: 0.1844: 0.1840: 0.6848:    0.958:    1.038:    0.351
   5: 0.1858: 0.1866: 0.6921:    0.957:    1.036:    0.348
   6: 0.1955: 0.1917: 0.6982:    0.952:    1.032:    0.344
   7: 0.1950: 0.1975: 0.7078:    0.952:    1.030:    0.339
   8: 0.1985: 0.1947: 0.7163:    0.950:    1.030:    0.335
   9: 0.2207: 0.2103: 0.7509:    0.937:    1.021:    0.311
  10: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  11: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  12: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  13: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  14: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  15: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  16: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  17: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  18: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  19: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  20: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  21: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  22: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  23: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  24: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  25: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  26: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  27: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  28: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  29: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  30: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
  31: 0.2208: 0.2105: 0.7513:    0.937:    1.021:    0.310
