The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1326: 0.1567: 0.6098:    0.988:    1.053:    0.390
   2: 0.1960: 0.1870: 0.6669:    0.951:    1.029:    0.352
   3: 0.2013: 0.2006: 0.6644:    0.948:    1.022:    0.353
   4: 0.2003: 0.2013: 0.6685:    0.949:    1.022:    0.351
   5: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
   6: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
   7: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
   8: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
   9: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  10: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  11: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  12: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  13: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  14: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  15: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  16: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  17: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  18: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  19: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  20: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  21: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  22: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  23: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  24: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  25: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  26: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  27: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  28: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  29: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  30: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
  31: 0.2004: 0.2019: 0.6687:    0.949:    1.021:    0.351
