The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0502: 0.1788: 0.3644:    1.034:    1.074:    0.501
   2: 0.1683: 0.1774: 0.6662:    0.968:    1.045:    0.367
   3: 0.1788: 0.1829: 0.7077:    0.962:    1.040:    0.346
   4: 0.2171: 0.2025: 0.7458:    0.939:    1.022:    0.311
   5: 0.2312: 0.2039: 0.7554:    0.930:    1.018:    0.302
   6: 0.2372: 0.2315: 0.7695:    0.927:    1.004:    0.293
   7: 0.2483: 0.2466: 0.7814:    0.920:    0.991:    0.283
   8: 0.2479: 0.2462: 0.7821:    0.920:    0.991:    0.283
   9: 0.2472: 0.2466: 0.7828:    0.921:    0.991:    0.283
  10: 0.2469: 0.2460: 0.7882:    0.921:    0.992:    0.279
  11: 0.2506: 0.2508: 0.7879:    0.918:    0.989:    0.279
  12: 0.2627: 0.2576: 0.7937:    0.911:    0.983:    0.275
  13: 0.2631: 0.2625: 0.7975:    0.911:    0.982:    0.272
  14: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  15: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  16: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  17: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  18: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  19: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  20: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  21: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  22: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  23: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  24: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  25: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  26: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  27: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  28: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  29: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  30: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
  31: 0.2629: 0.2626: 0.7975:    0.911:    0.982:    0.272
