The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1405: 0.2086: 0.5901:    0.984:    1.044:    0.397
   2: 0.2259: 0.2152: 0.6996:    0.934:    1.019:    0.334
   3: 0.2651: 0.2323: 0.7183:    0.910:    1.005:    0.324
   4: 0.3224: 0.2413: 0.7510:    0.873:    0.993:    0.316
   5: 0.3388: 0.2618: 0.7698:    0.863:    0.980:    0.307
   6: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
   7: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
   8: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
   9: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  10: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  11: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  12: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  13: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  14: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  15: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  16: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  17: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  18: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  19: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  20: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  21: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  22: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  23: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  24: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  25: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  26: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  27: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  28: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  29: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  30: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
  31: 0.3426: 0.2618: 0.7726:    0.860:    0.979:    0.308
