The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1027: 0.2115: 0.5079:    1.005:    1.051:    0.442
   2: 0.2327: 0.2288: 0.7034:    0.929:    1.010:    0.330
   3: 0.2496: 0.2363: 0.7421:    0.919:    1.005:    0.308
   4: 0.2539: 0.2352: 0.7430:    0.916:    1.004:    0.307
   5: 0.2541: 0.2360: 0.7440:    0.916:    1.004:    0.306
   6: 0.2543: 0.2362: 0.7443:    0.916:    1.004:    0.306
   7: 0.2539: 0.2362: 0.7444:    0.916:    1.004:    0.306
   8: 0.2550: 0.2377: 0.7472:    0.916:    1.003:    0.304
   9: 0.2548: 0.2383: 0.7483:    0.916:    1.002:    0.304
  10: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  11: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  12: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  13: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  14: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  15: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  16: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  17: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  18: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  19: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  20: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  21: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  22: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  23: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  24: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  25: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  26: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  27: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  28: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  29: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  30: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
  31: 0.2549: 0.2376: 0.7491:    0.916:    1.003:    0.303
