The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1069: 0.1821: 0.6234:    1.003:    1.060:    0.400
   2: 0.1420: 0.1647: 0.7312:    0.983:    1.057:    0.340
   3: 0.1820: 0.1762: 0.7501:    0.960:    1.044:    0.310
   4: 0.2081: 0.2099: 0.7602:    0.944:    1.023:    0.299
   5: 0.2109: 0.2153: 0.7796:    0.943:    1.019:    0.288
   6: 0.2131: 0.2313: 0.7900:    0.941:    1.010:    0.281
   7: 0.2156: 0.2314: 0.7935:    0.940:    1.009:    0.279
   8: 0.2166: 0.2405: 0.7948:    0.939:    1.004:    0.277
   9: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  10: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  11: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  12: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  13: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  14: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  15: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  16: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  17: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  18: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  19: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  20: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  21: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  22: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  23: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  24: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  25: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  26: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  27: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  28: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  29: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  30: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
  31: 0.2191: 0.2408: 0.7963:    0.938:    1.004:    0.276
