The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1105: 0.2339: 0.5638:    1.001:    1.039:    0.419
   2: 0.2751: 0.2827: 0.7427:    0.903:    0.984:    0.309
   3: 0.3174: 0.3216: 0.7877:    0.877:    0.963:    0.279
   4: 0.4038: 0.3918: 0.8525:    0.819:    0.922:    0.237
   5: 0.4653: 0.4638: 0.8902:    0.776:    0.879:    0.224
   6: 0.5027: 0.4832: 0.8891:    0.748:    0.863:    0.236
   7: 0.5040: 0.4955: 0.8933:    0.747:    0.859:    0.229
   8: 0.5053: 0.5217: 0.8978:    0.746:    0.845:    0.224
   9: 0.5235: 0.5228: 0.8981:    0.732:    0.842:    0.235
  10: 0.5408: 0.5460: 0.8952:    0.719:    0.825:    0.239
  11: 0.5419: 0.5661: 0.8978:    0.718:    0.818:    0.238
  12: 0.5599: 0.5667: 0.8942:    0.704:    0.816:    0.249
  13: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  14: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  15: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  16: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  17: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  18: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  19: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  20: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  21: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  22: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  23: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  24: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  25: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  26: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  27: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  28: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  29: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  30: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
  31: 0.5675: 0.5646: 0.8917:    0.698:    0.816:    0.254
