The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0746: 0.1644: 0.5168:    1.021:    1.072:    0.456
   2: 0.2101: 0.1067: 0.6828:    0.943:    1.072:    0.344
   3: 0.2370: 0.2111: 0.7328:    0.927:    1.018:    0.315
   4: 0.2502: 0.2585: 0.7414:    0.919:    0.994:    0.310
   5: 0.2782: 0.2757: 0.7637:    0.901:    0.982:    0.298
   6: 0.2804: 0.2846: 0.7664:    0.900:    0.977:    0.297
   7: 0.2901: 0.2842: 0.7657:    0.894:    0.975:    0.300
   8: 0.2962: 0.2897: 0.7623:    0.890:    0.972:    0.304
   9: 0.2977: 0.2924: 0.7660:    0.889:    0.970:    0.300
  10: 0.3029: 0.2912: 0.7679:    0.886:    0.970:    0.301
  11: 0.3118: 0.2998: 0.7731:    0.880:    0.963:    0.300
  12: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  13: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  14: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  15: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  16: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  17: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  18: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  19: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  20: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  21: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  22: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  23: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  24: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  25: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  26: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  27: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  28: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  29: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  30: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
  31: 0.3141: 0.2997: 0.7737:    0.879:    0.963:    0.300
