The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0545: 0.2075: 0.5198:    1.032:    1.065:    0.472
   2: 0.1074: 0.2520: 0.6197:    1.002:    1.031:    0.409
   3: 0.1746: 0.2550: 0.7035:    0.964:    1.006:    0.350
   4: 0.2134: 0.2550: 0.7460:    0.941:    0.997:    0.319
   5: 0.2349: 0.2871: 0.7819:    0.928:    0.979:    0.292
   6: 0.2419: 0.2910: 0.7957:    0.924:    0.975:    0.284
   7: 0.2506: 0.2880: 0.8104:    0.919:    0.974:    0.274
   8: 0.2513: 0.2881: 0.8107:    0.918:    0.974:    0.274
   9: 0.2512: 0.2881: 0.8108:    0.918:    0.974:    0.274
  10: 0.2520: 0.2909: 0.8103:    0.918:    0.972:    0.274
  11: 0.2535: 0.2906: 0.8125:    0.917:    0.972:    0.273
  12: 0.2542: 0.2962: 0.8167:    0.916:    0.970:    0.271
  13: 0.2583: 0.3007: 0.8164:    0.914:    0.967:    0.270
  14: 0.2587: 0.3010: 0.8166:    0.914:    0.967:    0.269
  15: 0.2623: 0.3045: 0.8199:    0.911:    0.965:    0.267
  16: 0.2659: 0.3047: 0.8210:    0.909:    0.964:    0.266
  17: 0.2657: 0.3047: 0.8215:    0.909:    0.964:    0.265
  18: 0.2660: 0.3045: 0.8218:    0.909:    0.964:    0.265
  19: 0.2675: 0.3065: 0.8226:    0.908:    0.963:    0.264
  20: 0.2671: 0.3077: 0.8234:    0.908:    0.963:    0.264
  21: 0.2671: 0.3077: 0.8229:    0.908:    0.963:    0.264
  22: 0.2686: 0.3095: 0.8225:    0.907:    0.961:    0.265
  23: 0.2686: 0.3095: 0.8225:    0.907:    0.961:    0.265
  24: 0.2686: 0.3095: 0.8225:    0.907:    0.961:    0.265
  25: 0.2686: 0.3095: 0.8225:    0.907:    0.961:    0.265
  26: 0.2686: 0.3095: 0.8225:    0.907:    0.961:    0.265
  27: 0.2686: 0.3095: 0.8225:    0.907:    0.961:    0.265
  28: 0.2686: 0.3095: 0.8225:    0.907:    0.961:    0.265
  29: 0.2686: 0.3095: 0.8225:    0.907:    0.961:    0.265
  30: 0.2686: 0.3095: 0.8225:    0.907:    0.961:    0.265
  31: 0.2686: 0.3095: 0.8225:    0.907:    0.961:    0.265
