The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0668: 0.2282: 0.5060:    1.025:    1.063:    0.460
   2: 0.1926: 0.1940: 0.6725:    0.953:    1.034:    0.347
   3: 0.2084: 0.2089: 0.7302:    0.944:    1.023:    0.315
   4: 0.2123: 0.2222: 0.7404:    0.942:    1.016:    0.309
   5: 0.2272: 0.2288: 0.7623:    0.933:    1.010:    0.295
   6: 0.2284: 0.2287: 0.7645:    0.932:    1.010:    0.294
   7: 0.2279: 0.2315: 0.7674:    0.932:    1.009:    0.292
   8: 0.2382: 0.2446: 0.7657:    0.926:    1.001:    0.293
   9: 0.2392: 0.2444: 0.7653:    0.925:    1.001:    0.293
  10: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  11: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  12: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  13: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  14: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  15: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  16: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  17: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  18: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  19: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  20: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  21: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  22: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  23: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  24: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  25: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  26: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  27: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  28: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  29: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  30: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
  31: 0.2394: 0.2440: 0.7654:    0.925:    1.001:    0.293
