The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0955: 0.2412: 0.4230:    1.009:    1.048:    0.471
   2: 0.1766: 0.2269: 0.5124:    0.963:    1.032:    0.425
   3: 0.1866: 0.2526: 0.5540:    0.957:    1.022:    0.408
   4: 0.1916: 0.2629: 0.5785:    0.954:    1.017:    0.397
   5: 0.1931: 0.2638: 0.5844:    0.953:    1.016:    0.395
   6: 0.1933: 0.2672: 0.5891:    0.953:    1.015:    0.393
   7: 0.1985: 0.2686: 0.5966:    0.950:    1.013:    0.389
   8: 0.1987: 0.2696: 0.6012:    0.950:    1.013:    0.387
   9: 0.1997: 0.2733: 0.6041:    0.949:    1.011:    0.386
  10: 0.1996: 0.2733: 0.6045:    0.949:    1.011:    0.386
  11: 0.2019: 0.2726: 0.6066:    0.948:    1.010:    0.385
  12: 0.2065: 0.2761: 0.6157:    0.945:    1.008:    0.380
  13: 0.2073: 0.2797: 0.6204:    0.945:    1.006:    0.378
  14: 0.2083: 0.2799: 0.6239:    0.944:    1.005:    0.377
  15: 0.2089: 0.2814: 0.6246:    0.944:    1.004:    0.376
  16: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  17: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  18: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  19: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  20: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  21: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  22: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  23: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  24: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  25: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  26: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  27: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  28: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  29: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  30: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
  31: 0.2090: 0.2816: 0.6249:    0.944:    1.004:    0.376
