The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0743: 0.1977: 0.5418:    1.021:    1.064:    0.455
   2: 0.1064: 0.1963: 0.5809:    1.003:    1.049:    0.425
   3: 0.1521: 0.2056: 0.6387:    0.977:    1.034:    0.386
   4: 0.1540: 0.2148: 0.6446:    0.976:    1.031:    0.383
   5: 0.1684: 0.2410: 0.6814:    0.968:    1.017:    0.361
   6: 0.1789: 0.2362: 0.6865:    0.961:    1.016:    0.355
   7: 0.1839: 0.2444: 0.6948:    0.959:    1.011:    0.349
   8: 0.1917: 0.2449: 0.7064:    0.954:    1.009:    0.342
   9: 0.1967: 0.2569: 0.7068:    0.951:    1.003:    0.340
  10: 0.2017: 0.2547: 0.7095:    0.948:    1.002:    0.338
  11: 0.2044: 0.2572: 0.7130:    0.946:    1.000:    0.335
  12: 0.2045: 0.2588: 0.7130:    0.946:    1.000:    0.336
  13: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  14: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  15: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  16: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  17: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  18: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  19: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  20: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  21: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  22: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  23: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  24: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  25: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  26: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  27: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  28: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  29: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  30: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
  31: 0.2084: 0.2587: 0.7126:    0.944:    0.998:    0.335
