The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1837: 0.1832: 0.6203:    0.959:    1.039:    0.384
   2: 0.2143: 0.2083: 0.7091:    0.940:    1.025:    0.340
   3: 0.2376: 0.2380: 0.7393:    0.926:    1.007:    0.320
   4: 0.2550: 0.2559: 0.7658:    0.916:    0.996:    0.303
   5: 0.2593: 0.2684: 0.7714:    0.913:    0.989:    0.298
   6: 0.2692: 0.2823: 0.7763:    0.907:    0.979:    0.293
   7: 0.2691: 0.2830: 0.7763:    0.907:    0.979:    0.293
   8: 0.2684: 0.2831: 0.7810:    0.908:    0.979:    0.291
   9: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  10: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  11: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  12: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  13: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  14: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  15: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  16: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  17: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  18: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  19: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  20: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  21: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  22: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  23: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  24: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  25: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  26: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  27: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  28: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  29: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  30: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
  31: 0.2692: 0.2840: 0.7794:    0.907:    0.978:    0.291
