The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.1023: 0.1936: 0.5560:    1.005:    1.056:    0.440
   2: 0.1399: 0.1923: 0.6338:    0.984:    1.046:    0.396
   3: 0.1566: 0.1995: 0.6746:    0.974:    1.040:    0.374
   4: 0.1625: 0.2007: 0.7027:    0.971:    1.038:    0.361
   5: 0.1654: 0.2094: 0.7052:    0.969:    1.034:    0.360
   6: 0.1742: 0.2176: 0.7204:    0.964:    1.030:    0.352
   7: 0.1750: 0.2187: 0.7206:    0.964:    1.029:    0.351
   8: 0.1746: 0.2218: 0.7205:    0.964:    1.028:    0.351
   9: 0.1766: 0.2233: 0.7233:    0.963:    1.027:    0.349
  10: 0.1764: 0.2234: 0.7238:    0.963:    1.027:    0.349
  11: 0.1762: 0.2240: 0.7244:    0.963:    1.027:    0.349
  12: 0.1766: 0.2240: 0.7251:    0.963:    1.027:    0.348
  13: 0.1769: 0.2264: 0.7274:    0.963:    1.026:    0.347
  14: 0.1769: 0.2268: 0.7277:    0.963:    1.026:    0.347
  15: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  16: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  17: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  18: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  19: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  20: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  21: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  22: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  23: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  24: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  25: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  26: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  27: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  28: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  29: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  30: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
  31: 0.1769: 0.2270: 0.7277:    0.963:    1.026:    0.347
