The evolution of correlations. The R is correlation coefficient; s is standard error
 No.:R2-sub :R2-clb :R2-tst : s-sub   : s-clb   : s-tst
   1: 0.0429: 0.2298: 0.3834:    1.038:    1.073:    0.506
   2: 0.1939: 0.2061: 0.6093:    0.953:    1.029:    0.380
   3: 0.2244: 0.2271: 0.6524:    0.934:    1.016:    0.357
   4: 0.2355: 0.2366: 0.6759:    0.928:    1.010:    0.345
   5: 0.2533: 0.2547: 0.6849:    0.917:    0.998:    0.339
   6: 0.2612: 0.2634: 0.7033:    0.912:    0.992:    0.329
   7: 0.2630: 0.2655: 0.7083:    0.911:    0.991:    0.326
   8: 0.2653: 0.2678: 0.7065:    0.909:    0.989:    0.327
   9: 0.2677: 0.2657: 0.7108:    0.908:    0.989:    0.324
  10: 0.2702: 0.2698: 0.7138:    0.906:    0.987:    0.323
  11: 0.2704: 0.2712: 0.7148:    0.906:    0.986:    0.322
  12: 0.2699: 0.2726: 0.7152:    0.907:    0.986:    0.322
  13: 0.2708: 0.2731: 0.7140:    0.906:    0.985:    0.322
  14: 0.2695: 0.2752: 0.7151:    0.907:    0.984:    0.322
  15: 0.2709: 0.2753: 0.7148:    0.906:    0.984:    0.322
  16: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  17: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  18: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  19: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  20: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  21: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  22: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  23: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  24: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  25: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  26: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  27: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  28: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  29: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  30: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
  31: 0.2699: 0.2778: 0.7142:    0.907:    0.982:    0.322
