

This file contains an example of calculations of DCW and endpoint
for SMILES that is inserted in dialog box
O=C(c1ncc(s1)C1CC1)Nc1nccc(n1)n1cnc2c1ccc(c2)C(F)(F)F
Selected threshold is 1

SMILES attribute (SA) : Correlation Weight :   SA defect
          EC0-O...1...:              0.2608:     0.01667
          EC0-C...3...:             -0.3504:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-N...2...:              0.1476:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-S...2...:              0.7579:     0.00719
          EC0-C...4...:             -0.2041:     0.00000
          EC0-C...4...:             -0.2041:     0.00000
          EC0-C...4...:             -0.2041:     0.00000
          EC0-N...3...:             -0.3738:     0.00056
          EC0-C...3...:             -0.3504:     0.00000
          EC0-N...2...:              0.1476:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-N...2...:              0.1476:     0.00000
          EC0-N...3...:             -0.3738:     0.00056
          EC0-C...3...:             -0.3504:     0.00000
          EC0-N...2...:              0.1476:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-C...3...:             -0.3504:     0.00000
          EC0-C...4...:             -0.2041:     0.00000
          EC0-F...1...:             -0.4137:     1.00000
          EC0-F...1...:             -0.4137:     1.00000
          EC0-F...1...:             -0.4137:     1.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          EC0-H...1...:             -0.3868:     0.00000
          O...........:              0.1294:     0.00061
          =...........:             -0.7095:     0.01587
          C...........:              0.3748:     0.00000
          (...........:              0.0818:     0.00000
          c...........:              0.2379:     0.00000
          1...........:              0.7781:     0.00000
          n...........:             -0.2831:     0.00000
          c...........:              0.2379:     0.00000
          c...........:              0.2379:     0.00000
          (...........:              0.0818:     0.00000
          s...........:             -0.2871:     0.00619
          1...........:              0.7781:     0.00000
          (...........:              0.0818:     0.00000
          C...........:              0.3748:     0.00000
          1...........:              0.7781:     0.00000
          C...........:              0.3748:     0.00000
          C...........:              0.3748:     0.00000
          1...........:              0.7781:     0.00000
          (...........:              0.0818:     0.00000
          N...........:             -0.3385:     0.00056
          c...........:              0.2379:     0.00000
          1...........:              0.7781:     0.00000
          n...........:             -0.2831:     0.00000
          c...........:              0.2379:     0.00000
          c...........:              0.2379:     0.00000
          c...........:              0.2379:     0.00000
          (...........:              0.0818:     0.00000
          n...........:             -0.2831:     0.00000
          1...........:              0.7781:     0.00000
          (...........:              0.0818:     0.00000
          n...........:             -0.2831:     0.00000
          1...........:              0.7781:     0.00000
          c...........:              0.2379:     0.00000
          n...........:             -0.2831:     0.00000
          c...........:              0.2379:     0.00000
          2...........:              0.0480:     0.00000
          c...........:              0.2379:     0.00000
          1...........:              0.7781:     0.00000
          c...........:              0.2379:     0.00000
          c...........:              0.2379:     0.00000
          c...........:              0.2379:     0.00000
          (...........:              0.0818:     0.00000
          c...........:              0.2379:     0.00000
          2...........:              0.0480:     0.00000
          (...........:              0.0818:     0.00000
          C...........:              0.3748:     0.00000
          (...........:              0.0818:     0.00000
          F...........:              0.3082:     1.00000
          (...........:              0.0818:     0.00000
          (...........:              0.0818:     0.00000
          F...........:              0.3082:     1.00000
          (...........:              0.0818:     0.00000
          F...........:              0.3082:     1.00000
          O...=.......:              0.0902:     0.01667
          C...=.......:             -2.0166:     0.01305
          C...(.......:              0.2005:     0.00163
          c...(.......:              0.3469:     0.00000
          c...1.......:              0.2324:     0.00227
          n...1.......:              0.2348:     0.00329
          n...c.......:             -0.0470:     0.00000
          c...c.......:             -0.3209:     0.00000
          c...(.......:              0.3469:     0.00000
          s...(.......:                 0.0:     0.00000
          s...1.......:              0.1383:     0.00534
          1...(.......:              0.7931:     0.00235
          C...(.......:              0.2005:     0.00163
          C...1.......:              1.1496:     0.00683
          C...1.......:              1.1496:     0.00683
          C...C.......:              0.0139:     0.00052
          C...1.......:              1.1496:     0.00683
          1...(.......:              0.7931:     0.00235
          N...(.......:              0.3266:     0.00056
          c...N.......:              0.3233:     0.00309
          c...1.......:              0.2324:     0.00227
          n...1.......:              0.2348:     0.00329
          n...c.......:             -0.0470:     0.00000
          c...c.......:             -0.3209:     0.00000
          c...c.......:             -0.3209:     0.00000
          c...(.......:              0.3469:     0.00000
          n...(.......:              0.5150:     0.00361
          n...1.......:              0.2348:     0.00329
          1...(.......:              0.7931:     0.00235
          n...(.......:              0.5150:     0.00361
          n...1.......:              0.2348:     0.00329
          c...1.......:              0.2324:     0.00227
          n...c.......:             -0.0470:     0.00000
          n...c.......:             -0.0470:     0.00000
          c...2.......:              0.6452:     0.00000
          c...2.......:              0.6452:     0.00000
          c...1.......:              0.2324:     0.00227
          c...1.......:              0.2324:     0.00227
          c...c.......:             -0.3209:     0.00000
          c...c.......:             -0.3209:     0.00000
          c...(.......:              0.3469:     0.00000
          c...(.......:              0.3469:     0.00000
          c...2.......:              0.6452:     0.00000
          2...(.......:              0.3333:     0.00198
          C...(.......:              0.2005:     0.00163
          C...(.......:              0.2005:     0.00163
          F...(.......:              0.0658:     1.00000
          F...(.......:              0.0658:     1.00000
          (...(.......:             -0.1714:     0.00436
          F...(.......:              0.0658:     1.00000
          F...(.......:              0.0658:     1.00000
          F...(.......:              0.0658:     1.00000
          O...=...C...:             -0.1955:     0.00754
          =...C...(...:              0.4432:     1.00000
          c...(...C...:              0.7762:     0.00663
          1...c...(...:             -0.0756:     0.00610
          n...1...c...:              0.5284:     0.00329
          c...n...1...:              0.0870:     0.00263
          n...c...c...:              1.5175:     0.00209
          c...c...(...:             -0.2795:     0.00000
          s...(...c...:                 0.0:     0.00000
          1...s...(...:                 0.0:     0.00000
          s...1...(...:             -0.2412:     0.00534
          C...(...1...:              0.3542:     0.00408
          1...C...(...:             -0.4342:     1.00000
          C...1...C...:             -1.1948:     0.03704
          C...C...1...:              0.1454:     0.01020
          C...C...1...:              0.1454:     0.01020
          C...1...(...:             -0.3909:     0.01429
          N...(...1...:                 0.0:     0.00000
          c...N...(...:              0.9603:     0.00856
          N...c...1...:              0.2242:     0.00851
          n...1...c...:              0.5284:     0.00329
          c...n...1...:              0.0870:     0.00263
          n...c...c...:              1.5175:     0.00209
          c...c...c...:             -0.0848:     0.00189
          c...c...(...:             -0.2795:     0.00000
          n...(...c...:              1.5536:     0.00862
          1...n...(...:             -1.4074:     1.00000
          n...1...(...:                 0.0:     0.00000
          n...(...1...:                 0.0:     0.00000
          1...n...(...:             -1.4074:     1.00000
          n...1...c...:              0.5284:     0.00329
          n...c...1...:              0.2907:     1.00000
          c...n...c...:             -0.1300:     0.00218
          n...c...2...:              0.1861:     0.00879
          c...2...c...:              1.1205:     0.00388
          2...c...1...:              0.4415:     0.00655
          c...1...c...:              0.4941:     0.00232
          c...c...1...:              0.3768:     0.00195
          c...c...c...:             -0.0848:     0.00189
          c...c...(...:             -0.2795:     0.00000
          c...(...c...:              1.1109:     0.00559
          2...c...(...:              0.8353:     0.00655
          c...2...(...:             -0.1861:     0.00563
          C...(...2...:              0.8569:     0.01486
          (...C...(...:             -0.0237:     0.00563
